День,Название группы,№ Группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,№ Объявления,Тип объявления,Заголовок,Текст,Статус объявления,Ссылка,Путь до изображения,Название файла изображения,Идентификатор видео,Путь до превью видео,Формат,Источник текста,Тип площадки,Вид размещения,Тематика телеграм-канала,Тип устройства,Тип операционной системы,Тип связи,Подобранная фраза,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,Производитель устройства,Версия ОС устройства,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽","CTR, %","CPC, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика,"Отказы, %",Глубина просмотра
23.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,катамаран в аренду сириус,Целевые запросы,Запросы без упоминания брендов,-,1918637737025426521,Комбинаторное,Заголовок из контента поискового сниппета или настроек объявления,Текст из контента поискового сниппета или настроек объявления,Активные,https://boat-sochi.ru/?utm_content=sirius_1&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Динамические места на поиске,Не определено,Смартфоны,Android,Wi-Fi,,Женский,35-44 года,Остальные,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,0.51,0.00,51.31,3.00,-,-,-
23.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,катание на катере,Целевые запросы,Запросы без упоминания брендов,-,1918637737025426521,Комбинаторное,Аренда катера в Сириусе — от 2 часов,От 8 000 ₽/час или 15000 ₽ за 2 часа. Капитан Олег. Бронь в день обращения,Активные,https://boat-sochi.ru/?utm_content=sirius_1&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Мобильная связь,,Женский,35-44 года,6–10%,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,0.48,0.00,47.60,1.00,-,-,-
23.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,морская прогулка в сочи на яхте с дельфинами в море,Целевые запросы,Запросы без упоминания брендов,-,1918637737025426522,Комбинаторное,Заголовок из контента поискового сниппета или настроек объявления,Текст из контента поискового сниппета или настроек объявления,Активные,https://boat-sochi.ru/?utm_content=sirius_2&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Динамические места на поиске,Не определено,Смартфоны,Android,Wi-Fi,,Мужской,45-54 года,2–5%,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,0.82,0.00,82.38,1.00,-,-,-
23.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,морская прогулка сириус,Целевые запросы,Запросы без упоминания брендов,-,1918637737025426521,Комбинаторное,Заголовок из контента поискового сниппета или настроек объявления,Текст из контента поискового сниппета или настроек объявления,Активные,https://boat-sochi.ru/?utm_content=sirius_1&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Динамические места на поиске,Не определено,Смартфоны,Android,Wi-Fi,,Женский,35-44 года,Остальные,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,0.96,0.00,95.65,1.00,-,-,-
23.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,морские прогулки в сириусе,Целевые запросы,Запросы без упоминания брендов,-,1918637737025426521,Комбинаторное,Заголовок из контента поискового сниппета или настроек объявления,Текст из контента поискового сниппета или настроек объявления,Активные,https://boat-sochi.ru/?utm_content=sirius_1&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Динамические места на поиске,Не определено,Смартфоны,iOS,Wi-Fi,,Женский,35-44 года,2–5%,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,0.83,0.00,83.28,1.00,-,-,-
23.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,на катере в сочи,Целевые запросы,Запросы без упоминания брендов,-,1918637737025426521,Комбинаторное,Заголовок из контента поискового сниппета или настроек объявления,Текст из контента поискового сниппета или настроек объявления,Активные,https://boat-sochi.ru/?utm_content=sirius_1&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Динамические места на поиске,Не определено,Смартфоны,Android,Wi-Fi,,Женский,35-44 года,Остальные,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,0.26,0.00,26.38,3.00,-,-,-
23.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,прогулка на катере,Целевые запросы,Запросы без упоминания брендов,-,1918637737025426522,Комбинаторное,Утром 15 000 ₽ за 2 часа — вся яхта ваша,От 8 000 ₽/час или от 15 000 ₽ за 2 часа. Капитан Олег. Бронь в день обращения,Активные,https://boat-sochi.ru/?utm_content=sirius_2&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Карты,Не определено,Смартфоны,Android,Wi-Fi,,Женский,45-54 года,Остальные,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,0.33,0.00,33.04,2.00,-,-,-
23.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,прокат яхт сочи,Целевые запросы,Запросы без упоминания брендов,-,1918637737025426522,Комбинаторное,Аренда яхты в Сириусе — с капитаном,Не групповая экскурсия. До 7 гостей на катере «Сириус». Уточните свободное окно.,Активные,https://boat-sochi.ru/?utm_content=sirius_2&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,,Мужской,18-24 года,Остальные,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,0.18,0.00,18.00,1.00,-,-,-
23.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,прокат яхт сочи,Целевые запросы,Запросы без упоминания брендов,-,1918637737025426522,Комбинаторное,Аренда яхты в Сириусе — с капитаном,От 8 000 ₽/час или от 15 000 ₽ за 2 часа. Капитан Олег. Бронь в день обращения,Активные,https://boat-sochi.ru/?utm_content=sirius_2&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Мобильная связь,,Женский,45-54 года,Остальные,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,0.11,0.00,11.33,2.00,-,-,-
23.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,романтическая масссаж на яхте,Узкие запросы,Запросы без упоминания брендов,-,1918637737025426521,Комбинаторное,Утром 7 500 ₽/час — вся яхта ваша,От 8 000 ₽/час или 15000 ₽ за 2 часа. Капитан Олег. Бронь в день обращения,Активные,https://boat-sochi.ru/?utm_content=sirius_1&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,,Мужской,45-54 года,2–5%,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
