День,Название группы,№ Группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,Тип площадки,Вид размещения,Пол,Возраст,№ Объявления,Заголовок,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽","CTR, %","CPC, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика
27.07.2026,Группа 3 - клинкер (продуктовая),5773902142,Автотаргетинг,,-,0,-,0,,Не определено,-,-,,Сети,Прочее,Мужской,45-54 года,1915802914729060647,Термопанели с клинкером - собственный завод в Выборге,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-
27.07.2026,Группа 3 - клинкер (продуктовая),5773902142,Автотаргетинг,,-,0,-,0,,Не определено,-,-,,Сети,Прочее,Мужской,Старше 55,1915802914729060647,"Термопанели в Выборге - завод на Ленина, 11",0.00,11,0,0,-,-,0.00,-,11.00,0.00,100.00,-,-
27.07.2026,Группа 3 - клинкер (продуктовая),5773902142,Автотаргетинг,,-,0,-,0,,Не определено,-,-,,Сети,Прочее,Мужской,Старше 55,1915802914729060647,Термопанели с клинкером - собственный завод в Выборге,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-
27.07.2026,Группа 3 - клинкер (продуктовая),5773902142,Автотаргетинг,,-,0,-,0,,Не определено,-,-,,Сети,Прочее,Женский,35-44 года,1915802914729060647,"Термопанели в Выборге - завод на Ленина, 11",0.00,2,0,0,-,-,0.00,-,2.00,0.00,100.00,-,-
27.07.2026,Группа 3 - клинкер (продуктовая),5773902142,Автотаргетинг,,-,0,-,0,,Не определено,-,-,,Сети,Прочее,Женский,45-54 года,1915802914729060647,"Термопанели в Выборге - завод на Ленина, 11",0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-
27.07.2026,Группа 3 - клинкер (продуктовая),5773902142,Автотаргетинг,,-,0,-,0,,Не определено,-,-,,Сети,Прочее,Женский,Старше 55,1915802914729060647,Купить термопанели в Выборге напрямую,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-
27.07.2026,Группа 3 - клинкер (продуктовая),5773902142,Автотаргетинг,,-,0,-,0,,Не определено,-,-,,Сети,Прочее,Женский,Старше 55,1915802914729060647,Производитель термопанелей в Ленобласти,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-
27.07.2026,Группа 3 - клинкер (продуктовая),5773902142,Автотаргетинг,,-,0,-,0,,Не определено,-,-,,Сети,Прочее,Женский,Старше 55,1915802914729060647,"Термопанели в Выборге - завод на Ленина, 11",0.00,5,0,0,-,-,0.00,-,5.00,0.00,100.00,-,-
27.07.2026,Группа 3 - клинкер (продуктовая),5773902142,Автотаргетинг,,-,0,-,0,dolomit термосайдинг,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Прочее,Мужской,Старше 55,1915802914729060647,Гарантия до 5 лет на термопанели,0.00,1,0,0,-,-,0.00,-,0.05,0.00,5.19,8.00,-
27.07.2026,Группа 3 - клинкер (продуктовая),5773902142,Автотаргетинг,,-,0,-,0,артхаус стройматериалы спб,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Прочее,Мужской,45-54 года,1915802914729060647,Бесплатная доставка по Выборгскому району,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
