Название кампании,№ Кампании,День,Название группы,№ Группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,№ Объявления,Тип объявления,Заголовок,Название товара или каталога,Производитель товара,Категория товара,Тип площадки,Вид размещения,Тематика телеграм-канала,Тип устройства,Тип операционной системы,Тип связи,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,"Расход, ₽",Клики,Конверсии,"CR, %","CPA, ₽",Показы,"CPC, ₽","CTR, %",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика,"Отказы, %",Глубина просмотра
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,здание построено с наружной отделкой и кровлей,Сопутствующие запросы,Запросы без упоминания брендов,-,,1916597733861553174,Комбинаторное,Фасадные термопанели с клинкером,,,,Поиск,Прочее,Не определено,Десктопы,Не определён,Wi-Fi,Женский,Старше 55,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,1.00,0.00,100.00,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,как утеплить венец дома из бруса снаружи,Сопутствующие запросы,Запросы без упоминания брендов,-,,1916597733861553174,Комбинаторное,Термопанели для дома в Приозерске,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,35-44 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,1.00,0.00,100.00,-,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,клинкерные панели,Целевые запросы,Запросы без упоминания брендов,-,,1916597733861553174,Комбинаторное,Клинкерные термопанели — КлинкерПрофи,,,,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Мобильная связь,Мужской,35-44 года,2–5%,Не определено,0.00,0,0,-,-,1,-,0.00,0.78,0.00,78.17,2.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,клинкерный кирпич для фасада,Альтернативные запросы,Запросы без упоминания брендов,-,,1916597733861553174,Комбинаторное,Клинкерные термопанели — КлинкерПрофи,,,,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,Женский,25-34 года,2–5%,Не определено,0.00,0,0,-,-,1,-,0.00,0.79,0.00,78.91,2.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,клинкерный кирпич для фасада,Альтернативные запросы,Запросы без упоминания брендов,-,,1916597733861553174,Комбинаторное,Термопанели с клинкерной плиткой - КлинкерПрофи,,,,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,Женский,25-34 года,2–5%,Не определено,0.00,0,0,-,-,1,-,0.00,0.75,0.00,75.28,2.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,купит технониколь с завода выборг,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,1916597733861553174,Комбинаторное,Производство в Выборге — доставка в район,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Женский,18-24 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,1.37,0.00,136.90,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,купить технониколь с завода выборг,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,1916597733861553174,Комбинаторное,Производство в Выборге — доставка в район,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Женский,18-24 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,0.91,0.00,90.80,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,куплю панель фасадную альта профиль кирпич рустикальный,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,1916597733861553174,Комбинаторное,Фасадные термопанели с клинкером,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,Старше 55,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,0.50,0.00,50.44,3.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,легкий уличный плитный материал,Широкие запросы,Запросы без упоминания брендов,-,,1916597733861553174,Комбинаторное,"Приозерск, Сосново — термопанели с клинкером",,,,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Мужской,25-34 года,2–5%,Не определено,0.00,0,0,-,-,1,-,0.00,0.09,0.00,8.50,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,можно ли в армопояс закладывать резьбовые прутья горизонтально на уличную сторону для дальнейшего крепления фасадных панелей,Сопутствующие запросы,Запросы без упоминания брендов,-,,1916597733861553174,Комбинаторное,Термопанели для дома в Приозерске,,,,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Мужской,45-54 года,2–5%,Не определено,0.00,0,0,-,-,1,-,0.00,0.42,0.00,41.63,6.00,-,-,-
